timestep,datetime,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale
2749,33188.00,6.5,2.602739726,2.637905028,0.410183822,,5176.824787
2750,33189.00,12.75,2.602739726,5.988620112,0.448206358,,3576.53716
2751,33190.00,19.25,2.602739726,5.828480447,0.381056164,8.9,3759.468024
2752,33191.00,5.5,5.890410959,8.996178771,0.555086469,,2933.788687
2753,33192.00,3.75,5.890410959,6.045863128,0.51375621,,3623.626108
2754,33193.00,27.25,5.890410959,8.691586592,0.242682574,,3089.608997
2755,33194.00,47,5.890410959,37.85870112,0.352421628,,933.4637794
2756,33195.00,10.75,5.890410959,14.15028771,0.643903352,,2236.707407
2757,33196.00,34.75,5.890410959,17.4196257,0.266558223,,1906.901822
2758,33197.00,18.75,5.890410959,22.25350559,0.360353748,10.1,1580.259521
2759,33198.00,8.75,1.506849315,12.35961453,0.316964745,,2451.820048
2760,33199.00,0,0,7.771575419,0.512160963,,3192.555878
2761,33200.00,6.25,1.506849315,5.834337989,0.125094439,,3699.304724
2762,33201.00,4.75,1.506849315,5.789162011,0,,3709.981835
2763,33202.00,7.75,1.506849315,6.328583799,0.094522503,,3565.46251
2764,33203.00,10,1.506849315,6.442013966,0.247938104,,3534.51939
2765,33204.00,0,0,5.343259777,0.132583179,9.2,3840.420724
2766,33205.00,0,0,4.458192737,0.293106272,,4172.464918
2767,33206.00,0.5,6.011522474,3.872891061,0.289712885,,4433.407444
2768,33207.00,0,0,3.378645251,0.187576956,,4694.721547
2769,33208.00,0,0,3.020304469,0.083278632,,4919.059244
2770,33209.00,0,0,2.854256983,0.147039632,,5033.65803
2771,33210.00,0.75,10.86596565,2.652687151,0.114816841,,5178.500245
2772,33211.00,0,0,2.406494413,0.12080728,8.4,5377.111377
2773,33212.00,0.25,5.068493151,2.20947486,0.392992441,,5557.08057
2774,33213.00,6,5.068493151,2.106075419,0.21193776,,5676.527162
2775,33214.00,6.25,5.068493151,2.565628492,0.072319831,,5252.192588
2776,33215.00,0,0,2.33172905,0.035020109,,5433.296682
2777,33216.00,0,0,2.078597765,0,,5686.258326
2778,33217.00,0.5,5.068493151,3.266698324,0.093857218,,4739.345806
2779,33218.00,47.75,5.068493151,11.2482905,0.206292239,9.4,2138.930309
2780,33219.00,0,0,12.24465084,0.177790514,,2279.999281
2781,33220.00,0,0,5.886829609,0.227518283,,3642.072415
2782,33221.00,0,0,4.183064246,0.263937075,,4279.307981
2783,33222.00,0,0,3.328541899,0.410201538,,4719.447307
2784,33223.00,0.5,3.561643836,2.993430168,0.165197254,,4937.843202
2785,33224.00,0,0,2.733284916,0.214866621,,5115.075731
2786,33225.00,0,0,2.43673743,0.105219749,8.6,5350.059415
2787,33226.00,0,0,2.220988827,0.204100963,,5548.051123
2788,33227.00,87.75,14.52054795,35.12345531,0.091943377,,690.6164857
2789,33228.00,37.75,14.52054795,34.19663128,0.198134646,,1122.26379
2790,33229.00,11,14.52054795,22.1986257,0.168384739,,1564.466341
2791,33230.00,14.75,14.52054795,14.3028352,0.450470879,,2258.123495
2792,33231.00,4.25,14.52054795,12.68343855,0.203695609,,2404.781155
2793,33232.00,25.5,14.52054795,15.37325698,0.219677766,,2124.151202
2794,33233.00,36.25,14.52054795,30.02188827,0.237650898,,1158.101139
2795,33234.00,2,14.52054795,11.52394693,0.215804634,,2525.252946
2796,33235.00,14.25,14.52054795,8.574837989,0.143602972,,3063.748565
2797,33236.00,15,14.52054795,9.783980447,0.048893017,,2850.419855
2798,33237.00,8.5,14.52054795,9.215145251,0.069722829,,2941.498062
2799,33238.00,33,14.52054795,19.57552793,0.066292826,,1816.954696
2800,33239.00,51.5,14.52054795,38.50463966,0.062731328,,720.143713
2801,33240.00,7.75,14.52054795,22.15005587,0.234078584,,1473.25865
2802,33241.00,13,14.52054795,12.42153352,0,,2472.08684
2803,33242.00,8.5,14.52054795,9.354142458,0.027172058,,2906.355985
2804,33243.00,12,14.52054795,11.69049721,0.439374498,,2543.276507
2805,33244.00,0.75,14.52054795,7.428670391,0.202835836,,3271.470852
2806,33245.00,6.25,14.52054795,5.961192737,0.023117573,,3649.18399
2807,33246.00,20.79905122,14.52054795,7.249047486,0,11.2,3267.706843
2808,33247.00,19.85200898,50.68493151,13.02327654,0.051667489,,2220.877484
2809,33248.00,23.89280561,50.68493151,16.44106425,0.141739474,,2055.430148
2810,33249.00,7.584169165,50.68493151,11.77192458,0.017952208,,2520.088443
2811,33250.00,4.74737231,50.68493151,8.221223464,0.070685214,,3103.394852
2812,33251.00,0,0,5.887634078,0.167875333,,3660.633119
2813,33252.00,0.34005294,50.68493151,4.4685,0.009968197,,4161.726843
2814,33253.00,0.08922996,50.68493151,3.751365922,0.10274858,10.4,4490.511265
2815,33254.00,0.35503686,8.356164384,3.246360335,0.05654717,,4775.956716
2816,33255.00,4.83754377,8.356164384,3.820273743,0.152898733,,4473.256443
2817,33256.00,20.48038469,8.356164384,7.007555866,0.03227483,,3183.033565
2818,33257.00,1.30000815,8.356164384,7.088153631,0.216911451,,3288.769733
2819,33258.00,13.41446046,8.356164384,7.188360335,0.144345372,,3339.457526
2820,33259.00,0.17751843,8.356164384,6.460215084,0.521967188,,3496.871132
2821,33260.00,0,0,4.779326816,0.296868339,10.8,4037.386493
2822,33261.00,0.5,4.993306399,4.037128492,0.623744438,,4357.244337
2823,33262.00,2,4.478235333,3.605581006,0.092498537,,4569.01747
2824,33263.00,0,0,3.153997207,0,,4832.467452
2825,33264.00,0,0,2.855941341,0,,5026.846854
2826,33265.00,0,0,2.570581006,0.04753139,,5241.324952
2827,33266.00,0.25,3.742728668,2.328988827,0.020819364,,5446.106661
2828,33267.00,0,0,2.121335196,0.047891631,9.3,5642.952105
2829,33268.00,1.25,8.050609501,1.983444134,0,,5788.144753
2830,33269.00,0,0,1.796907821,0,,6000.856134
2831,33270.00,1.25,7.093714484,1.684407821,0,,6146.061271
2832,33271.00,2.75,8.274645267,1.57424581,0,,6299.72383
2833,33272.00,0,0,1.465039106,0,,6459.841659
2834,33273.00,0.25,13.71265401,1.372122905,0,,6614.691539
2835,33274.00,0,0,1.276567039,0.000473692,8.7,6779.513288
2836,33275.00,0,0,1.101243017,0,,7085.516531
2837,33276.00,0,0,1.113410615,0,,7131.220017
2838,33277.00,0,0,1.159617318,0,,7008.229046
2839,33278.00,0,0,0.987486034,0,,7374.564295
2840,33279.00,0,0,1.045156425,0,,7277.354481
2841,33280.00,2,1.160491118,0.977178771,0.262622663,,7430.026684
2842,33281.00,3,12.21834666,0.985550279,0,,7416.005904
2843,33282.00,0.5,1.780821918,0.928055866,0.338758177,,7553.769125
2844,33283.00,10,1.780821918,0.96146648,0.343551501,,7499.281996
2845,33284.00,5.25,1.780821918,4.762709497,0.323861477,,4024.132102
2846,33285.00,0.25,1.780821918,2.861472067,0.525725078,,4967.3185
2847,33286.00,3.25,1.780821918,2.055921788,0.58476228,,5697.479656
2848,33287.00,1.5,1.780821918,1.775312849,0.236934691,,6026.098306
2849,33288.00,1.5,1.780821918,1.633374302,0.617467562,5.1,6217.25888
2850,33289.00,9.5,2.191780822,2.490410615,0.130101342,,5285.177992
2851,33290.00,10.5,2.191780822,4.564131285,0.124127537,,4071.489024
2852,33291.00,56.75,2.191780822,50.25172626,0.220332688,,114.9199228
2853,33292.00,41.25,2.191780822,56.4227095,0.146119123,,291.316184
2854,33293.00,5.75,2.191780822,14.71912291,0.467494392,,2174.25749
2855,33294.00,0,0,7.674209497,0.801254434,,3200.409962
2856,33295.00,1.75,2.191780822,5.185131285,0.451549398,9.8,3878.10162
2857,33296.00,5.25,5.795734344,4.198801676,0.269219442,,4288.546323
2858,33297.00,1.5,2.675725664,3.641882682,0.899871169,,4543.856549
2859,33298.00,0.75,10.19620403,3.059497207,1.096491643,,4885.989287
2860,33299.00,3,5.241170545,2.71272067,0.240671788,,5137.059412
2861,33300.00,6.25,2.104870585,2.984203911,0.787058588,,4949.150069
2862,33301.00,16.75,20.63260678,4.807759777,0.08230581,,3866.923019
2863,33302.00,2.75,2.160380807,5.121100559,0.66204263,9.8,3880.141902
2864,33303.00,2.25,1.369863014,4.005402235,0.159799128,,4374.788635
2865,33304.00,13.75,1.369863014,6.388139665,0.454223462,,3498.029421
2866,33305.00,6.25,1.369863014,5.894622905,0.297804111,,3678.276361
2867,33306.00,14.5,1.369863014,8.876463687,0.070684441,,2984.901458
2868,33307.00,7.75,1.369863014,7.463061453,0.21033682,,3281.949997
2869,33308.00,1.25,1.369863014,6.014136872,1.298968692,,3625.297371
2870,33309.00,1.25,1.369863014,4.71446648,0.343182178,9.9,4062.480123
2871,33310.00,0,0,3.972318436,2.049399514,,4385.563087
2872,33311.00,2.5,1.232876712,3.499416201,0.989825538,,4624.758811
2873,33312.00,7.25,1.232876712,3.361902235,0.30718873,,4717.646433
2874,33313.00,6.5,1.232876712,4.066969274,0.212611239,,4357.457008
2875,33314.00,4.25,1.232876712,3.773287709,0.594259359,,4489.329936
2876,33315.00,45.75,1.232876712,17.76273184,0.354226351,,1398.970369
2877,33316.00,12.75,1.232876712,18.87038547,0.136201621,9.2,1813.19769
2878,33317.00,28.75,3.97260274,18.92881006,0.260514273,,1863.454261
2879,33318.00,5.25,3.97260274,16.14760894,0.72183289,,2023.631734
2880,33319.00,0.75,3.97260274,8.389106145,1.376311733,,3055.966031
2881,33320.00,0.75,3.97260274,5.690790503,1.86431679,,3717.088151
2882,33321.00,0,0,4.360198324,2.194857261,,4207.924663
2883,33322.00,0,0,3.667424581,1.204033682,,4534.066818
2884,33323.00,0,0,3.163148045,0.267111902,9.3,4822.155566
2885,33324.00,0,0,2.683458101,1.014871052,,5145.471961
2886,33325.00,0,0,2.2725,1.871823849,,5491.91846
2887,33326.00,0,0,1.998050279,0.92470558,,5766.844286
2888,33327.00,0,0,1.760480447,2.488788188,,6042.586676
2889,33328.00,0.25,1.232876712,1.599108939,1.142041562,,6261.580675
2890,33329.00,36.75,1.232876712,5.066597765,0.347301547,,3531.603139
2891,33330.00,47.25,1.232876712,29.60006983,0.341464244,7.5,1149.228523
2892,33331.00,2.5,8.904109589,11.29567877,1.67441355,,2543.552614
2893,33332.00,21.75,8.904109589,8.190678771,0.913919653,,3151.589042
2894,33333.00,42.75,8.904109589,29.67516201,0.715527601,,1241.286986
2895,33334.00,10.75,8.904109589,12.21558939,0.41411524,,2478.744627
2896,33335.00,20,8.904109589,13.05869832,0.935233567,,2359.049893
2897,33336.00,1.5,8.904109589,8.365072626,0.476429144,,3065.705366
2898,33337.00,0,0,5.804094972,1.49251642,9.5,3684.593989
2899,33338.00,0,0,4.415304469,1.615274797,,4183.323164
2900,33339.00,0,0,3.674790503,1.25986153,,4530.321405
2901,33340.00,1.25,2.779909255,3.21677095,0.501596107,,4789.023089
2902,33341.00,0,0,2.702614525,1.843021754,,5132.164396
2903,33342.00,0,0,2.287282123,3.18552566,,5477.402921
2904,33343.00,0,0,2.025175978,3.390773639,,5738.025769
2905,33344.00,0,0,1.789164804,2.632434204,8.5,6005.011679
2906,33345.00,0,0,1.611879888,1.494930613,,6242.826296
2907,33346.00,2.85242598,5.205479452,1.525675978,2.041522431,,6367.01185
2908,33347.00,0.132432705,5.205479452,1.349949721,2.492033895,,6646.929974
2909,33348.00,0.517512115,5.205479452,1.247027933,2.242013927,,6835.962341
2910,33349.00,11.52991793,5.205479452,1.504432961,0.841476838,,6399.12
2911,33350.00,0,0,1.203310056,2.559087613,,6908.134918
2912,33351.00,0,0,1.088446927,2.288332824,8.4,7162.233166
2913,33352.00,0.38507941,0.821917808,1.029494413,1.478572067,,7300.0323
2914,33353.00,12.39585336,0.821917808,1.454430168,0.78696862,,6448.949012
2915,33354.00,0.132432705,0.821917808,1.149812849,1.361540332,,7011.616453
2916,33355.00,0,0,1.007622905,3.424440214,,7346.612622
2917,33356.00,0.77015882,0.821917808,0.983539106,1.50604933,,7419.01653
2918,33357.00,54.55476267,0.821917808,10.67912849,0.210999841,,2219.158336
2919,33358.00,5.692633265,0.821917808,10.00601397,0.612871645,8.2,2705.928216
2920,33359.00,0,0,5.13749162,1.046593225,,3884.754127
2921,33360.00,0,0,3.695958101,2.196657859,,4509.031865
2922,33361.00,2.202481165,2.40874656,2.947575419,3.205367672,,4957.839961
2923,33362.00,1.80518305,1.122584215,2.530759777,1.006896113,,5262.622401
2924,33363.00,0,0,2.108312849,3.201957296,,5646.088716
2925,33364.00,1.68496905,7.747434482,1.844648045,2.355734868,,5944.293238
2926,33365.00,1.552536345,3.36124321,1.743184358,1.347277293,8.5,6066.477907
2927,33366.00,0.38507941,3.215474438,1.524921788,3.365831352,,6362.936507
2928,33367.00,0,0,1.371293296,3.532301431,,6612.332939
2929,33368.00,0,0,1.267592179,2.853709665,,6795.903179
2930,33369.00,0.64994482,4.569501071,1.215578212,1.443245587,,6901.140546
2931,33370.00,0.132432705,1.569912426,1.140058659,3.346475161,,7050.960352
2932,33371.00,6.354796785,4.517914008,1.227444134,1.811104707,,6878.810091
2933,33372.00,0,0,1.203134078,4.391212533,8,6915.594417
2934,33373.00,0,0,1.12349162,2.935193909,,7088.112004
2935,33374.00,0,0,1.072055866,1.093576806,,7202.594316
2936,33375.00,0,0,1.042617318,1.131258783,,7270.859
2937,33376.00,0.26486541,0.61755001,0.992840782,2.456511792,,7390.415556
2938,33377.00,0.91481023,1.571067881,0.977731844,2.505273764,,7430.252224
2939,33378.00,0,0,0.911413408,3.603129979,,7604.023763
2940,33379.00,0,0,0.875564246,4.326502258,7.9,7707.580941
2941,33380.00,0,0,0.844793296,5.094987019,,7796.403752
2942,33381.00,0,0,0.765930168,3.42781552,,8030.043618
2943,33382.00,0,0,0.672083799,5.948867609,,8396.458886
2944,33383.00,0,0,0.659111732,2.171628131,,8450.710828
2945,33384.00,0,0,0.637189944,1.822072549,,8541.040301
2946,33385.00,0,0,0.617782123,4.684039705,,8627.673718
2947,33386.00,0.132432705,4.794520548,0.610692737,2.86794861,,8658.338532
2948,33387.00,0,0,0.601114525,4.170639733,,8703.816254
2949,33388.00,0,0,0.60526257,1.239635614,,8685.108035
2950,33389.00,0,0,0.59402514,2.098933927,,8731.169537
2951,33390.00,0,0,0.576628492,4.480847133,,8817.276619
2952,33391.00,7.124955605,4.794520548,0.650916201,0.908538109,,8488.523945
2953,33392.00,0.770158825,4.794520548,0.614463687,3.206034838,,8635.173933
2954,33393.00,0,0,0.571902235,4.835975937,7.7,8830.836383
2955,33394.00,5.82506597,4.520547945,0.594452514,1.4292006,,8754.75496
2956,33395.00,2.202481165,4.520547945,0.657,3.254061813,,8443.306263
2957,33396.00,0,0,0.581631285,1.035963102,,8786.742659
2958,33397.00,8.653054545,4.520547945,0.682265363,0.88795398,,8378.474591
2959,33398.00,24.67149272,4.520547945,1.249340782,2.005530635,,6834.033236
2960,33399.00,5.82506597,4.520547945,1.996617318,1.629113628,,5646.474032
2961,33400.00,5.427767855,4.520547945,1.200268156,0.744558397,7.8,6939.721913
2962,33401.00,6.8478715,4.794520548,1.32151676,3.556042468,,6687.645465
2963,33402.00,11.37304783,4.794520548,2.208368715,1.911399211,,5529.342961
2964,33403.00,11.24061513,4.794520548,1.605620112,2.859750833,,6325.401544
2965,33404.00,12.27563936,4.794520548,7.36127095,1.178273147,,3219.709078
2966,33405.00,2.46734657,4.794520548,3.290958101,2.261573446,,4715.786801
2967,33406.00,4.910255735,4.794520548,2.623223464,1.519711342,,5192.53042
2968,33407.00,19.03995295,4.794520548,2.955997207,1.581468787,7.6,5037.304199
2969,33408.00,5.68041457,2.054794521,6.74922067,1.995292661,,3396.296552
2970,33409.00,0.64994482,2.054794521,3.525259777,3.451886432,,4587.833134
2971,33410.00,2.202481165,2.054794521,2.908106145,2.439473469,,4987.466964
2972,33411.00,9.43543207,2.054794521,2.756463687,3.193044445,,5102.205682
2973,33412.00,1.287670935,2.054794521,2.383541899,2.281077838,,5391.775793
2974,33413.00,10.482675,2.054794521,2.578173184,1.222335882,,5251.932638
2975,33414.00,14.24991121,2.054794521,5.536432961,2.125555671,7.3,3715.941554
2976,33415.00,8.255756435,2.602739726,3.799332402,2.770645951,,4473.893506
2977,33416.00,0.26486541,2.602739726,3.175617318,2.994209931,,4812.594906
2978,33417.00,0,0,2.762321229,5.325177216,,5088.882759
2979,33418.00,2.45512787,2.602739726,2.434650838,3.678822064,,5355.516097
2980,33419.00,2.45512787,2.602739726,2.296608939,3.296694684,,5472.249332
2981,33420.00,5.83728467,2.602739726,2.212290503,2.927886759,,5559.102615
2982,33421.00,1.15523823,2.602739726,1.990784916,3.45116505,7.6,5778.418146
2983,33422.00,8.689710655,2.328767123,2.360614525,1.94181934,,5412.226533
2984,33423.00,0,0,1.947569832,6.080831033,,5818.903745
2985,33424.00,0.38507941,2.328767123,1.754622905,5.181268206,,6055.649463
2986,33425.00,1.167456935,2.328767123,1.643128492,5.525436467,,6200.579492
2987,33426.00,0,0,1.523463687,5.029960928,,6373.198613
2988,33427.00,33.36120338,2.328767123,3.834226257,1.137860364,,4310.119464
2989,33428.00,2.587560575,2.328767123,6.514843575,3.477509662,,3109.046823
2990,33429.00,0,0,2.993430168,5.455273448,7.5,4915.172929
2991,33430.00,4.65760903,1.917808219,2.560449721,2.839192188,,5253.976896
2992,33431.00,10.5315498,1.917808219,3.044790503,1.821012665,,4912.867852
2993,33432.00,15.02007003,1.917808219,4.254385475,1.128341328,,4230.104691
2994,33433.00,2.587560575,1.917808219,3.598114525,4.094828293,,4547.932121
2995,33434.00,5.042688445,1.917808219,3.382692737,1.703465277,,4696.529948
2996,33435.00,2.07004846,1.917808219,3.036645251,2.796956874,7.8,4908.94523
2997,33436.00,0.90259153,1.506849315,2.748796089,2.840729027,,5101.820556
2998,33437.00,15.26049804,1.506849315,3.961583799,1.743011932,,4370.746426
2999,33438.00,0.38507941,1.506849315,3.018645251,1.603678684,,4917.317331
3000,33439.00,0,0,2.687555866,2.236943469,,5148.283914
3001,33440.00,0,0,2.391460894,3.456698302,,5388.652644
3002,33441.00,0,0,2.190921788,3.049072549,,5574.9544
3003,33442.00,5.042688445,1.506849315,2.152432961,1.368401887,7.8,5617.175826
3004,33443.00,22.26523965,1.643835616,4.858441341,1.531661213,,3855.088263
3005,33444.00,0.38507941,1.643835616,3.204276536,3.384480667,,4776.62081
3006,33445.00,0,0,2.664150838,2.58915784,,5163.756735
3007,33446.00,0,0,2.378589385,1.2856084,,5401.715148
3008,33447.00,0,0,2.159170391,4.760041305,,5602.888291
3009,33448.00,0,0,1.967832402,5.926290323,,5803.343194
3010,33449.00,1.552536345,1.643835616,1.862798883,1.770263784,7.5,5928.827837
3011,33450.00,24.45550211,0.410958904,4.289103352,2.515724039,,4109.498153
3012,33451.00,1.03502423,0.410958904,2.466578212,2.407632807,,5315.634356
3013,33452.00,0,0,2.165405028,4.272726806,,5596.356275
3014,33453.00,3.369938095,0.410958904,2.097930168,2.525100188,,5672.386758
3015,33454.00,0.132432705,0.410958904,1.923837989,4.348534244,,5852.992516
3016,33455.00,6.607443495,0.410958904,1.965946927,0.919286178,,5829.532954
3017,33456.00,11.63791324,0.410958904,3.326078212,1.47004194,7.2,4700.942069
3018,33457.00,0.64994482,0.410958904,2.629181564,2.604617557,,5173.541491
3019,33458.00,0,0,2.180111732,5.327291621,,5579.764466
3020,33459.00,52.02829562,0.410958904,13.71901676,0.810456614,,1796.864167
3021,33460.00,40.36594497,0.410958904,35.41965084,0.491330217,,1058.470697
3022,33461.00,3.11729139,0.410958904,16.65155866,1.896523169,,1933.379094
3023,33462.00,0,0,7.869041899,3.045620122,,3150.320421
3024,33463.00,0,0,4.931145251,3.474259588,7.7,3959.721991
3025,33464.00,0,0,3.694198324,3.652699577,,4515.422832
3026,33465.00,4.790041735,1.369863014,3.177854749,2.988135544,,4815.521013
3027,33466.00,11.36082913,1.369863014,3.162921788,3.264017299,,4921.608652
3028,33467.00,2.190262465,1.369863014,3.634969274,1.743232725,,4404.200107
3029,33468.00,0,0,2.659751397,4.225708051,,5164.042384
3030,33469.00,10.4948937,1.369863014,2.980382682,2.653444522,,4928.457018
3031,33470.00,0.132432705,1.369863014,2.784519553,4.724981749,7.1,5057.459834
3032,33471.00,1.937615755,2.876712329,2.413684358,3.896309051,,5370.51021
3033,33472.00,4.77782304,2.876712329,2.298343575,1.341493162,,5479.829192
3034,33473.00,49.89715366,2.876712329,12.95316201,1.59409095,,2032.22815
3035,33474.00,0.264865405,2.876712329,10.01348045,1.831979861,,2649.316161
3036,33475.00,0.902591525,2.876712329,5.441103352,3.447317088,,3782.558317
3037,33476.00,0,0,3.87452514,2.920499611,,4424.220544
3038,33477.00,0,0,3.216972067,4.087059536,7.7,4787.386237
3039,33478.00,0,0,2.826301676,3.65214609,,5045.176525
3040,33479.00,0,0,2.455416201,4.31275643,,5330.943861
3041,33480.00,0,0,2.204597765,4.966298474,,5560.495902
3042,33481.00,0,0,2.024698324,4.588150984,,5743.914518
3043,33482.00,0,0,1.906290503,2.000989298,,5874.595035
3044,33483.00,0,0,1.745798883,3.978371497,,6063.769035
3045,33484.00,0,0,1.631337989,2.535054922,7.9,6219.564625
3046,33485.00,0,0,1.540634078,3.1569045,,6346.942001
3047,33486.00,0,0,1.429265363,4.414398774,,6517.801482
3048,33487.00,0,0,1.349572626,2.197621852,,6651.219183
3049,33488.00,0,0,1.256681564,4.031627373,,6817.498571
3050,33489.00,0,0,1.182393855,3.948212846,,6965.505775
3051,33490.00,0,0,1.132416201,3.582930897,,7068.948261
3052,33491.00,0,0,1.081835196,3.488403107,7.7,7179.968102
3053,33492.00,0,0,1.060240223,0.459428401,,7232.910065
3054,33493.00,0,0,1.018407821,1.610067489,,7327.319172
3055,33494.00,0.902591525,1.917808219,0.978310056,2.612618542,,7432.611904
3056,33495.00,14.22547382,1.917808219,1.51124581,0.94148639,,6200.753209
3057,33496.00,2.71999328,1.917808219,1.297332402,2.888888354,,6636.6768
3058,33497.00,22.08393214,1.917808219,2.858505587,1.413634422,,4890.776776
3059,33498.00,0.517512115,1.917808219,1.440201117,1.663967832,7.6,6474.303334
3060,33499.00,5.680414565,3.835616438,1.465391061,2.21784371,,6457.003158
3061,33500.00,0,0,1.231969274,1.997961786,,6859.56048
3062,33501.00,0,0,1.134502793,2.2248321,,7063.088479
3063,33502.00,18.36557074,3.835616438,1.697405028,2.781668424,,6082.225016
3064,33503.00,0.649944815,3.835616438,2.161734637,2.032459437,,5316.344695
3065,33504.00,21.73550884,3.835616438,3.292743017,0.652109871,,4636.956554
3066,33505.00,17.3061091,3.835616438,8.965734637,1.883942289,6.9,2779.340539
3067,33506.00,1.03502423,2.739726027,3.663930168,1.268067059,,4505.900551
3068,33507.00,27.515646,2.739726027,7.541949721,0.063318595,,2990.795591
3069,33508.00,0.132432705,2.739726027,5.554835196,1.860543414,,3712.417632
3070,33509.00,23.80555729,2.739726027,7.526916201,0.077565215,,3172.067485
3071,33510.00,1.552536345,2.739726027,7.769187151,0.459028618,,3154.034754
3072,33511.00,5.307553855,2.739726027,4.952011173,1.682976405,,3972.166046
3073,33512.00,2.20248116,2.739726027,4.19324581,2.08549949,7.9,4261.438598
3074,33513.00,5.415549155,3.698630137,3.428044693,1.348843598,,4694.397838
3075,33514.00,17.96827262,3.698630137,9.705946927,1.823579592,,2723.197567
3076,33515.00,3.225286695,3.698630137,4.956837989,1.689575693,,3957.866599
3077,33516.00,11.00018712,3.698630137,6.852569832,1.501257292,,3406.830284
3078,33517.00,0.38507941,3.698630137,4.497662011,1.616526475,,4146.013119
3079,33518.00,26.38089917,3.698630137,7.80146648,0.449303499,,3057.646984
3080,33519.00,9.58008348,3.698630137,11.50838547,1.878052335,6.9,2464.271822
3081,33520.00,14.35790652,2.054794521,10.21153073,0.138543226,,2782.969327
3082,33521.00,0.132432705,2.054794521,10.09156425,0.147902518,,2706.28018
3083,33522.00,3.225286695,2.054794521,6.808650838,0.78513579,,3419.703996
3084,33523.00,1.42010364,2.054794521,5.365357542,1.257132734,,3821.624722
3085,33524.00,0,0,4.107946927,1.710502564,,4318.782011
3086,33525.00,1.03502423,2.054794521,3.491874302,0.679506121,,4629.564517
3087,33526.00,0,0,3.073022346,1.182072131,7.8,4883.444534
3088,33527.00,30.61677269,19.17808219,8.682938547,0.830033171,,2921.706981
3089,33528.00,30.62899139,19.17808219,10.02356145,1.192790758,,2689.679132
3090,33529.00,4.15231562,19.17808219,10.75258659,0.511519236,,2594.287896
3091,33530.00,1.03502423,19.17808219,6.585134078,0.70176885,,3463.98436
3092,33531.00,3.622584805,19.17808219,4.788402235,0.393611,,4033.269684
3093,33532.00,0.517512115,19.17808219,3.98174581,0.677415355,,4377.375656
3094,33533.00,0.517512115,19.17808219,3.39377933,0.803493267,8.2,4685.697023
3095,33534.00,0,0,3.193365922,0.345477332,,4817.183874
3096,33535.00,0,0,3.078226257,0.264005819,,4879.649667
3097,33536.00,0.517512115,4.074267052,2.815793296,0.115404924,,5057.855602
3098,33537.00,0,0,2.592100559,0.112346275,,5227.219257
3099,33538.00,0,0,2.451946927,0.391900272,,5343.320075
3100,33539.00,0.132432705,7.823144952,2.258069832,0.546190618,,5509.396828
3101,33540.00,7.63024902,7.071637397,2.216011173,0.509425649,7.7,5565.759599
3102,33541.00,3.357719395,7.808219178,2.315337989,0.76762222,,5455.27029
3103,33542.00,25.35809363,7.808219178,5.689885475,0.309904635,,3433.01771
3104,33543.00,29.94239047,7.808219178,11.71038268,0.619683935,,2476.396592
3105,33544.00,25.08100953,7.808219178,13.75453911,0.466161464,,2396.936005
3106,33545.00,12.51606737,7.808219178,17.79961173,0.286779777,,1863.513251
3107,33546.00,23.39604049,7.808219178,12.89564246,0.158611007,,2437.626725
3108,33547.00,0.517512115,7.808219178,11.21349721,0.560799473,9.1,2554.586238
3109,33548.00,24.56349742,5.890410959,9.804067039,0.344704764,,2801.597749
3110,33549.00,43.51989245,5.890410959,33.90149162,0.157748559,,1049.098866
3111,33550.00,18.63043614,5.890410959,19.40676536,0.269396493,,1784.469703
3112,33551.00,11.08374503,5.890410959,11.42441899,0.210160683,,2600.792529
3113,33552.00,47.28515568,5.890410959,21.44146927,0.124025099,,1524.702262
3114,33553.00,0.517512115,5.890410959,21.54768436,0.262739231,,1362.347033
3115,33554.00,11.75812724,5.890410959,11.10672905,0.360806543,9,2628.81503
3116,33555.00,10.50711241,13.97260274,8.912564246,0,,2981.647504
3117,33556.00,29.01536155,13.97260274,10.06655028,0.10855883,,2816.497214
3118,33557.00,3.3455007,13.97260274,10.32448324,0.135385236,,2760.099465
3119,33558.00,2.33491387,13.97260274,8.384103352,0.306338544,,3082.79684
3120,33559.00,9.70029749,13.97260274,7.836083799,0.279402648,,3217.498552
3121,33560.00,37.89859841,13.97260274,20.47276257,0.083487025,,1771.016595
3122,33561.00,3.76723621,13.97260274,15.40649162,0,9.3,2104.896288
3123,33562.00,0.38507941,1.141094834,8.579111732,0.328925376,,3029.488262
3124,33563.00,2.59977928,3.045776748,6.337282123,0.264666658,,3547.805218
3125,33564.00,0.38507941,6.852200251,4.955128492,0.091379046,,3965.18024
3126,33565.00,0.132432705,1.627849307,3.938329609,0.397829631,,4394.888983
3127,33566.00,0,0,3.350765363,0.370734361,,4712.087234
3128,33567.00,1.552536345,2.267153863,3.106684358,0.328707059,,4864.430259
3129,33568.00,0,0,2.783162011,0.306364901,8,5077.70486
3130,33569.00,1.03502423,4.719890874,2.533826816,0.10387493,,5274.674525
3131,33570.00,6.462792085,9.310970944,2.671340782,0.142106821,,5168.417329
3132,33571.00,0,0,2.397217877,0.172633916,,5384.103954
3133,33572.00,0,0,2.22224581,0.034562028,,5547.174253
3134,33573.00,0,0,2.105547486,0.033984979,,5661.989408
3135,33574.00,0.132432705,23.58282605,2.011273743,0.120804427,,5761.064919
