timestep,datetime,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale
80,30519.00,0,0,0.597041899,2.209548547,,8717.156107
81,30520.00,0,0,0.583265363,2.431022351,,8784.379976
82,30521.00,0,0,0.561544693,1.380489498,,8885.506961
83,30522.00,0,0,0.535977654,4.376332739,,9012.740718
84,30523.00,0,0,0.508701117,4.581891733,,9162.67188
85,30524.00,0,0,0.486351955,4.50150988,,9292.041459
86,30525.00,0,0,0.468804469,5.01515277,,9398.792574
87,30526.00,0,0,0.450226257,6.39534205,,9510.333361
88,30527.00,0,0,0.440522346,5.270946144,,9578.529571
89,30528.00,10.72284153,7.260273973,0.582712291,1.749184729,,8696.370657
90,30529.00,2.5,7.260273973,0.569865922,2.287126994,6.4,8819.832879
91,30530.00,10,7.260273973,0.781592179,2.387067427,,7934.061582
92,30531.00,0,0,0.563681564,4.678782401,,8848.137892
93,30532.00,0.75,7.260273973,0.51903352,1.620939553,,9111.513336
94,30533.00,0.75,7.260273973,0.487835196,4.882873041,6.5,9274.41558
95,30534.00,0,0,0.455555866,5.116996127,,9476.897305
96,30535.00,0,0,0.438787709,4.040906278,,9590.75391
97,30536.00,0,0,0.436424581,2.872824203,,9608.16631
98,30537.00,0,0,0.42151676,4.094865408,6.4,9707.133309
99,30538.00,0,0,0.413773743,4.210283555,,9764.524164
100,30539.00,0,0,0.404396648,5.256412383,,9831.813448
101,30540.00,0,0,0.399494413,3.591642796,,9869.029193
102,30541.00,0,0,0.387804469,5.544911408,,9954.316051
103,30542.00,0,0,0.380187151,5.572416785,,10014.29692
104,30543.00,0,0,0.378100559,3.008033277,,10032.9212
105,30544.00,56.50166788,7.260273973,1.477282123,0.886948987,6.1,5466.137069
106,30545.00,10.59460913,7.260273973,1.816893855,2.076557323,,5833.778788
107,30546.00,0,0,0.825335196,4.124992379,,7792.389599
108,30547.00,0.133844945,7.260273973,0.636662011,5.012790904,,8524.76831
109,30548.00,4.92155366,7.260273973,0.624946927,2.131954325,,8596.126203
110,30549.00,1.95830789,7.260273973,0.587212291,1.58698102,,8763.307623
111,30550.00,0,0,0.546536313,3.592094411,,8957.298012
112,30551.00,4.681429415,7.260273973,0.543142458,1.056923804,6.4,8990.144377
113,30552.00,0.38507941,7.260273973,0.53253352,0.62377689,,9031.732897
114,30553.00,0,0,0.484793296,2.891906367,,9282.428193
115,30554.00,0,0,0.440648045,3.617926216,,9575.06991
116,30555.00,0,0,0.423829609,3.711134278,,9691.576498
117,30556.00,0,0,0.423226257,0.478942026,,9702.115458
118,30557.00,0,0,0.405678771,4.105426223,,9815.235076
119,30558.00,0,0,0.393310056,4.411160719,6.8,9916.028011
120,30559.00,7.926874445,7.260273973,0.444318436,2.81861888,,9572.850555
121,30560.00,8.981029025,7.260273973,0.730332402,2.645046828,,8090.197407
122,30561.00,41.8552063,7.260273973,2.888497207,1.343212193,,5638.820258
123,30562.00,55.65786145,7.260273973,29.47027374,1.075193793,,1089.464224
124,30563.00,7.17246869,7.260273973,7.536192737,1.343171765,,3209.371583
